code,business category,location,charge,Size
305,"Large transport company, Over 30 Vehicles",cbd," 68,000 ",Large
310,Medium Transport company from 2 to 30 vehicles,cbd," 25,500 ",Medium
311,Large Car Bazaar over 30 vehicles,cbd," 25,500 ",Large
312,Medium Car Bazaar 20 to 30 vehicles,cbd," 17,000 ",Medium
313,Small Car Bazaar less than 20 vehicle,cbd," 14,000 ",Small
315,"Small transport company, per vehicle",cbd," 8,500 ",Small
316,large driving school with over 10 test vehicles,cbd," 27,000 ",Large
317,medium driving school with test vehicles between5-10,cbd," 21,000 ",Medium
318,small driving school with test vehicles below 5,cbd," 17,000 ",Small
320,Motor bike/tuk tuk distributor,cbd," 6,000 ",
321,Large private parking over 20 vehicles,cbd," 75,000 ",Large
322,Medium private parking less than 20 vehicles,cbd," 35,000 ",Medium
325,Large petrol filling Station over 5 pumps nozzles or with garage ? workshop and retail shop,cbd," 45,500 ",Large
330,"Medium Petrol Filling Station, From 3 to 4Pumps  nozzles or with garage workshop or retail shop",cbd," 35,500 ",Medium
335,"Small petrol filling station up to 2 pumps nozzles  and without garage, workshop or retail shop",cbd," 27,500 ",Small
340,"Large cold storage facility over 1000m2 insulated wall, cold production equipment",cbd," 46,750 ",Large
345,Medium Cold storage facility between 100 ? 1000m2,cbd," 21,250 ",Medium
350,Small cold storage facility up to 100m2,cbd," 10,200 ",Small
355,"Large storage facility over 5000 m2 Go down, warehouse, liquid storage tanks complex",cbd," 42,500 ",Large
360,Medium storage facility  from 1000m2 to 5000m2,cbd," 17,000 ",Medium
365,Small storage facility up to 1000m2,cbd," 8,500 ",Small
366,Large Building materials storage facility over 3500M2,cbd," 35,000 ",Large
367,Medium Building materials storage facility between 2000-3500M2,cbd," 25,000 ",Medium
368,Small Building materials storage facility Less than 2000M2,cbd," 17,000 ",Small
370,Large communications Co. over 30 employees and or premises over 5000m2,cbd," 76,500 ",Large
375,"Medium Communication Co from 16 to 29 employees and or premises from 46,7501500 to 5000m2",cbd," 46,750 ",Medium
376,Communication Mast,cbd," 45,000 ",
380,Small communication to up to 15 employees and or premises up to 250m2,cbd," 25,500 ",Small
395,"Other transport, storage and communications",cbd," 5,950 ",
396,large airline /Sacco booking offices with over four tellers,cbd," 40,000 ",Large
397,medium airline /Sacco booking offices with tellers between 2-4,cbd," 25,000 ",Medium
398,small airline /Sacco booking office with less than 2 tellers,cbd," 15,000 ",Small
103,"Mega Store, Hyper  Markets, Large Multi Department Store, over 100 employees, Perimeter over 3000m2 (Prime location Mega Store, Hyper  Markets, Large Multi Department Store, over 100 employees, Perimeter over 3000m2 (Prime location",cbd," 80,000 ",Large
104,"Medium-Mega Store, Hyper  Markets, medium Multi Department Store, between 75-100 employees, Perimeter over 2500m2 (Prime location medium Mega Store, Hyper  Markets, medium Multi Department Store, over 100 employees, Perimeter over 2500m2 (Prime location",cbd," 65,000 ",Medium
105,"Large trader, medium supermarkets,, shops  or Retail Service with Over 20 employees and Premises over 300m2 (Prime location)",cbd," 51,000 ",Large
106,"Small supermarkets, large Wholesalers,  and large stock list",cbd," 35,000 ",Small
107,"medium wholesalers, Large beauty shops e.g. Baby ware, cosmetic shop, jewel",cbd," 15,000 ",Medium
108,"Medium beauty shops eg. Baby ware, cosmetic shop, jewelry",cbd," 12,500 ",Medium
109,"Small beauty shops eg. Baby ware, cosmetic shop, jewelry",cbd," 8,500 ",Small
110,"Medium Trader, shops or Retail Service From 1 to 2 employees and or premises less than 50m2 (F location",cbd," 8,500 ",Medium
111,Large Boutique from 5 to 20 employees,cbd," 17,000 ",Large
112,Medium Boutique from 2 to 5 employees and less than 100m2,cbd," 7,000 ",Medium
113,Small Boutique less than 2 employees and less than 100m2,cbd," 7,000 ",Small
115,"Small Trader, kiosk, Grocery  Up to 2 employees and or premises less than 50m2/ far away location)",cbd," 5,950 ",Small
116,Large hardware with employees over 10 and the area 250m2,cbd," 51,000 ",Large
117,Medium hardware with employees from 2 to 9 and area between 100m2 to 250m2,cbd," 27,000 ",Medium
118,Small Hard ware with  employees below 2 and the area below 100m2,cbd," 17,000 ",Small
120,Large electronic/ mobile phones shop with above 5 employees,cbd," 35,000 ",Large
121,Medium Electronic/ mobile phones with 2 ? 4 employees,cbd," 25,000 ",Medium
122,Small Electronic/ mobile phones with only 1 employee,cbd," 10,000 ",Small
123,large dry cleaners and Dobi services with employees over 10 and area over 250m2,cbd," 35,000 ",Large
124,medium dry cleaners and Dobi services with employees between 5- 10 and area between100- 250m2,cbd," 25,000 ",Medium
125,small dry cleaners and Dobi services with employees below 5 and area below100m2,cbd," 17,000 ",Small
130,Large Chemist of above 5 employees,cbd," 20,000 ",Large
131,Medium Chemist of between 2 ? 4 employees,cbd," 15,000 ",Medium
132,Small chemist,cbd," 10,000 ",Small
205,"Hawker with motor vehicle, 1 person with motor vehicle",cbd," 4,250 ",
210,Hawker 1 person without a motor vehicle,cbd," 3,400 ",
211,"large scrap metal, waste paper , commercial public toilet dealers over 100m2",cbd," 40,000 ",Large
212,"medium scrap metal , waste paper dealers, commercial public toilet  between 50- 100m2",cbd," 25,000 ",Medium
213,"small scrap metal, waste paper , commercial public toilet dealers below 50m2",cbd," 12,500 ",Small
215,"Small Informal sector trade/service provider, shoe shine, shoe repair, street vendor/Newspapers, sweets,, soda, cigarettes .",cbd," 1,700 ",Small
220,"Semi-permanent Informal  Sector, Trader up to 2 persons, Operators in veranda or temporary building",cbd," 1,700 ",
